customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Female,0,No,Yes,44,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Electronic check,63.96,2853.51,Yes
CUST-00001,Female,1,Yes,Yes,10,No,No,No,No,Yes,Two year,Yes,Bank transfer,56.49,633.64,No
CUST-00002,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,One year,Yes,Electronic check,105.29,134.27,No
CUST-00003,Male,1,Yes,No,24,Yes,No,Fiber optic,No,No,One year,Yes,Credit card,94.51,2260.32,Yes
CUST-00004,Male,0,Yes,No,72,Yes,No,DSL,No,Yes,Month-to-month,Yes,Mailed check,31.78,2385.51,Yes
CUST-00005,Male,0,Yes,No,15,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Mailed check,76.41,1059.83,Yes
CUST-00006,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,120.0,2047.22,No
CUST-00007,Female,0,No,No,72,Yes,No,No,No internet service,No,Two year,No,Electronic check,106.07,7619.39,Yes
CUST-00008,Male,1,No,No,37,Yes,Yes,Fiber optic,No,Yes,One year,No,Bank transfer,37.72,1411.56,No
CUST-00009,Male,0,Yes,Yes,40,Yes,No,No,Yes,No,One year,Yes,Electronic check,112.88,4457.39,No
CUST-00010,Female,0,No,No,26,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Mailed check,92.9,2455.66,No
CUST-00011,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Electronic check,33.54,2333.51,No
CUST-00012,Female,0,Yes,No,37,Yes,No,DSL,No,Yes,Two year,Yes,Electronic check,71.23,2667.71,No
CUST-00013,Female,0,No,Yes,72,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,79.33,5686.59,No
CUST-00014,Female,0,Yes,Yes,38,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,32.69,1265.32,No
CUST-00015,Female,0,No,No,42,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.18,3584.28,No
CUST-00016,Male,0,No,Yes,10,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,120.0,1157.41,Yes
CUST-00017,Male,0,Yes,No,11,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,105.96,1244.97,No
