location,date,new_cases,new_deaths,total_cases,people_vaccinated_per_hundred
United States,2022-01-01,420994,5186,420994,59.72347139765763
United States,2022-01-02,360074,2362,781068,60.63780436937877
United States,2022-01-03,567049,2951,1348117,61.53486945830582
United States,2022-01-04,470504,3215,1818621,58.9496603856437
United States,2022-01-05,558897,5208,2377518,56.1734395106844
United States,2022-01-06,630213,4030,3007731,56.95224800476828
United States,2022-01-07,556133,5317,3563864,57.17539259732942
United States,2022-01-08,604756,6133,4168620,61.19544093382522
United States,2022-01-09,638699,7073,4807319,60.22184517941973
United States,2022-01-10,660946,3950,5468265,61.89487964209328
United States,2022-01-11,683424,4251,6151689,63.70455636901787
United States,2022-01-12,706844,9961,6858533,59.98894427535975
United States,2022-01-13,807050,6550,7665583,57.558312700057954
United States,2022-01-14,940916,6443,8606499,62.387279448564634
United States,2022-01-15,821582,4834,9428081,60.34273656237994
United States,2022-01-16,716532,5526,10144613,56.833411572926224
United States,2022-01-17,750755,5862,10895368,62.11424445243783
United States,2022-01-18,704956,9179,11600324,60.268857765256044
United States,2022-01-19,725310,3666,12325634,61.22335257768174
United States,2022-01-20,792047,9734,13117681,61.775496919186715
United States,2022-01-21,687776,9375,13805457,59.38157524829757
United States,2022-01-22,626862,3532,14432319,62.19929395156964
United States,2022-01-23,629367,7738,15061686,57.60758675183866
United States,2022-01-24,724760,7046,15786446,60.59312276865794
United States,2022-01-25,666601,8404,16453047,58.709760490789755
United States,2022-01-26,706109,7017,17159156,60.67636250398664
United States,2022-01-27,415795,2184,17574951,61.64380500875045
United States,2022-01-28,455268,4591,18030219,62.084983234678845
United States,2022-01-29,493044,4488,18523263,60.71422514302349
United States,2022-01-30,419256,2419,18942519,61.48742256754245
United States,2022-01-31,379005,5418,19321524,58.99648591283093
United States,2022-02-01,280860,3851,19602384,65.31637330586406
United States,2022-02-02,267072,3719,19869456,64.02653486622671
United States,2022-02-03,374924,5234,20244380,63.35110658790966
United States,2022-02-04,316667,2305,20561047,62.344675706804466
United States,2022-02-05,425797,5793,20986844,62.41609465834876
United States,2022-02-06,398541,3656,21385385,62.530825733249706
United States,2022-02-07,405653,3397,21791038,62.42172628706012
United States,2022-02-08,437138,4453,22228176,63.80810171362908
United States,2022-02-09,424045,6241,22652221,65.80791747731858
United States,2022-02-10,400327,3141,23052548,62.94697224910156
United States,2022-02-11,498509,4998,23551057,62.13478143890397
United States,2022-02-12,497407,3207,24048464,63.60309468466723
United States,2022-02-13,527617,3915,24576081,62.98523970011085
United States,2022-02-14,565906,4174,25141987,64.50386606537354
United States,2022-02-15,486643,5510,25628630,65.76803143786536
United States,2022-02-16,542778,3203,26171408,67.38091125161996
United States,2022-02-17,492954,3384,26664362,64.84632521668391
United States,2022-02-18,509555,6000,27173917,61.993048691767605
United States,2022-02-19,494632,3593,27668549,62.26892140633491
United States,2022-02-20,435956,5191,28104505,63.947184861270365
United States,2022-02-21,489090,3118,28593595,62.67812524627387
United States,2022-02-22,411264,5859,29004859,62.35587696758865
United States,2022-02-23,407266,4724,29412125,64.11224359706793
United States,2022-02-24,407790,4198,29819915,65.61428550856486
United States,2022-02-25,359310,5020,30179225,62.58826656580899
United States,2022-02-26,356683,2992,30535908,64.56364574355462
United States,2022-02-27,371910,5195,30907818,61.26570768790089
United States,2022-02-28,299531,3420,31207349,63.69289641899395
United States,2022-03-01,55955,284,31263304,67.69480286515328
United States,2022-03-02,61995,313,31325299,64.57129716394726
United States,2022-03-03,66380,791,31391679,63.56629021528152
United States,2022-03-04,59872,725,31451551,67.31310721726766
United States,2022-03-05,68805,857,31520356,63.73914389375894
United States,2022-03-06,88529,1024,31608885,66.825561853873
United States,2022-03-07,77352,671,31686237,66.29172370485662
United States,2022-03-08,81488,1200,31767725,64.36837943006913
United States,2022-03-09,100730,1139,31868455,65.52081098361238
United States,2022-03-10,96814,1042,31965269,68.90706815431463
United States,2022-03-11,87675,1071,32052944,65.93094068781038
United States,2022-03-12,93228,1342,32146172,66.96494483048637
United States,2022-03-13,103566,1518,32249738,67.48068163589548
United States,2022-03-14,98959,1337,32348697,62.97030555062827
United States,2022-03-15,99376,1050,32448073,64.97406936472876
United States,2022-03-16,109426,1170,32557499,66.77063475945768
United States,2022-03-17,109926,1637,32667425,64.38212621721928
United States,2022-03-18,107880,1485,32775305,63.714059404338755
United States,2022-03-19,113814,1368,32889119,68.13239708819548
United States,2022-03-20,92735,1214,32981854,64.12434992016975
United States,2022-03-21,105111,1485,33086965,66.51441498196021
United States,2022-03-22,104276,1353,33191241,73.70546298130944
United States,2022-03-23,108200,1402,33299441,67.97640522100822
United States,2022-03-24,90414,791,33389855,67.51793844098654
United States,2022-03-25,90599,485,33480454,64.28814216434127
United States,2022-03-26,104847,824,33585301,62.2654696148165
United States,2022-03-27,76624,411,33661925,66.16039742508163
United States,2022-03-28,71217,446,33733142,68.17790119393473
United States,2022-03-29,83647,598,33816789,66.25710200014217
United States,2022-03-30,58559,323,33875348,66.43291717916395
United States,2022-03-31,80104,911,33955452,69.68682751664106
United States,2022-04-01,17575,227,33973027,69.37290862953886
United States,2022-04-02,26868,155,33999895,65.66173528181893
United States,2022-04-03,33506,304,34033401,70.73151038834024
United States,2022-04-04,32643,244,34066044,68.36430618697884
United States,2022-04-05,43919,509,34109963,69.8099634219219
United States,2022-04-06,40569,451,34150532,72.30270197295899
United States,2022-04-07,34961,299,34185493,68.0315318542675
United States,2022-04-08,42409,253,34227902,72.74401136094461
United States,2022-04-09,31838,214,34259740,66.95122471733141
United States,2022-04-10,38735,432,34298475,66.39961431681311
United States,2022-04-11,46686,408,34345161,69.26148115457218
United States,2022-04-12,49995,678,34395156,73.69599385690064
United States,2022-04-13,46644,266,34441800,69.92420694852655
United States,2022-04-14,50589,549,34492389,69.12179321423432
United States,2022-04-15,52329,464,34544718,70.32426134904209
United States,2022-04-16,49441,516,34594159,73.2226352832325
United States,2022-04-17,51226,748,34645385,70.17663441296915
United States,2022-04-18,49408,404,34694793,69.41519652257143
United States,2022-04-19,48275,298,34743068,70.69920419404205
United States,2022-04-20,53712,739,34796780,71.90510049492474
