Age,Attrition,Department,JobRole,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,EducationField,WorkLifeBalance,PerformanceRating,DistanceFromHome,NumCompaniesWorked,MaritalStatus,Gender,EnvironmentSatisfaction,RelationshipSatisfaction,StockOptionLevel
47,No,Research & Development,Manufacturing Director,90474,3,13,Yes,Life Sciences,1,3,10,1,Divorced,Female,4,3,2
48,No,Research & Development,Research Scientist,23991,1,12,Yes,Medical,1,4,25,7,Married,Female,2,4,3
55,Yes,Research & Development,Healthcare Representative,54282,3,18,No,Marketing,4,3,15,4,Married,Female,3,1,1
28,No,Research & Development,Research Director,35872,3,3,No,Marketing,4,3,4,6,Single,Male,3,3,3
52,No,Sales,Sales Representative,83618,4,2,No,Technical Degree,4,3,16,5,Divorced,Male,4,4,1
25,No,Sales,Sales Executive,37331,2,9,No,Technical Degree,1,3,15,0,Single,Female,3,2,0
20,Yes,Sales,Sales Representative,20000,4,3,No,Marketing,1,3,15,5,Divorced,Male,1,4,1
31,Yes,Research & Development,Research Director,55879,1,0,No,Medical,4,3,12,6,Divorced,Female,2,1,0
30,No,Research & Development,Healthcare Representative,97743,4,2,No,Marketing,3,4,8,3,Married,Male,1,1,2
49,No,Research & Development,Laboratory Technician,59609,4,3,No,Other,3,3,8,7,Divorced,Male,4,3,0
51,Yes,Sales,Sales Representative,76156,3,2,No,Technical Degree,3,3,18,7,Married,Female,4,2,3
36,Yes,Human Resources,Human Resources,77242,4,2,No,Marketing,3,3,6,6,Single,Male,4,1,1
55,Yes,Research & Development,Research Scientist,22656,1,2,No,Technical Degree,2,3,5,1,Single,Female,2,3,0
33,Yes,Sales,Manager,39817,2,0,No,Marketing,4,4,2,5,Married,Female,3,4,0
19,No,Sales,Manager,65180,4,7,No,Human Resources,1,3,12,5,Single,Female,1,4,0
57,Yes,Sales,Sales Executive,49394,4,6,Yes,Technical Degree,4,3,26,6,Married,Male,3,1,0
34,Yes,Sales,Manager,112724,2,7,No,Medical,3,3,4,5,Single,Female,4,2,0
51,Yes,Research & Development,Research Scientist,30606,1,1,No,Human Resources,1,3,23,1,Divorced,Female,3,3,0
59,No,Research & Development,Research Scientist,39540,1,2,No,Other,2,3,13,7,Married,Female,2,1,1
33,Yes,Sales,Sales Executive,73135,4,6,No,Marketing,4,4,17,3,Married,Female,4,3,3
55,Yes,Research & Development,Research Scientist,47418,3,6,No,Other,1,3,16,8,Divorced,Female,3,4,3
19,Yes,Sales,Sales Representative,20000,4,4,No,Technical Degree,1,3,9,7,Single,Female,1,3,0
19,No,Sales,Manager,119171,2,3,No,Human Resources,3,3,26,2,Married,Female,4,4,1
43,No,Research & Development,Manufacturing Director,34919,2,17,No,Other,3,3,28,2,Married,Male,4,2,0
30,No,Research & Development,Healthcare Representative,80704,2,2,No,Medical,4,3,1,7,Single,Male,2,2,2
48,Yes,Research & Development,Research Director,29905,4,4,No,Technical Degree,2,4,15,1,Married,Male,2,4,3
51,No,Sales,Sales Executive,40835,4,7,No,Human Resources,1,3,12,8,Married,Male,1,1,0
56,No,Research & Development,Research Scientist,20000,1,5,No,Other,3,3,5,3,Married,Female,3,4,1
20,Yes,Research & Development,Research Scientist,44246,3,2,No,Human Resources,4,3,23,5,Married,Male,3,3,3
25,No,Sales,Sales Executive,46960,4,4,No,Human Resources,3,3,24,2,Married,Female,4,3,1
40,No,Research & Development,Research Scientist,61288,1,11,No,Other,4,3,18,2,Married,Male,4,3,2
31,No,Sales,Manager,54568,4,2,Yes,Life Sciences,3,4,20,2,Single,Male,3,1,0
44,No,Sales,Sales Representative,24637,1,1,No,Marketing,2,3,2,9,Married,Male,3,2,2
46,No,Research & Development,Laboratory Technician,50330,1,2,No,Technical Degree,1,4,4,1,Divorced,Male,3,2,3
56,No,Human Resources,Human Resources,105516,3,13,No,Technical Degree,3,3,15,7,Divorced,Male,4,3,0
56,Yes,Research & Development,Healthcare Representative,102194,4,0,Yes,Technical Degree,1,3,6,8,Divorced,Male,2,1,3
18,Yes,Sales,Sales Representative,77759,1,33,Yes,Human Resources,4,3,22,7,Married,Female,2,3,0
34,No,Sales,Sales Representative,83566,2,5,No,Other,2,3,12,9,Divorced,Male,1,2,1
58,Yes,Research & Development,Laboratory Technician,122703,2,29,No,Marketing,1,3,29,2,Married,Male,3,4,3
47,No,Research & Development,Laboratory Technician,80994,2,19,Yes,Medical,3,3,18,6,Married,Female,3,3,2
30,Yes,Sales,Sales Representative,83037,3,4,Yes,Technical Degree,1,3,27,9,Single,Male,3,3,2
38,Yes,Research & Development,Research Scientist,21191,1,1,No,Other,1,3,20,1,Divorced,Male,1,3,1
36,Yes,Sales,Manager,33846,3,1,No,Marketing,4,4,4,3,Married,Male,3,2,1
36,Yes,Research & Development,Manufacturing Director,64084,4,1,No,Marketing,2,3,1,5,Married,Male,2,1,2
42,No,Sales,Sales Representative,42391,4,8,No,Life Sciences,2,4,15,4,Single,Female,3,4,1
39,Yes,Research & Development,Laboratory Technician,37057,1,2,No,Other,1,3,18,8,Married,Male,1,4,0
48,Yes,Sales,Sales Representative,40291,2,2,No,Technical Degree,1,3,14,9,Married,Female,4,4,2
34,Yes,Research & Development,Research Director,25140,1,4,Yes,Human Resources,4,3,3,3,Married,Female,4,3,3
40,Yes,Research & Development,Manufacturing Director,42841,1,17,No,Marketing,1,3,29,4,Single,Male,2,2,2
49,Yes,Sales,Sales Executive,74504,1,1,No,Marketing,4,4,15,3,Married,Female,2,4,1
27,Yes,Human Resources,Manager,115297,3,0,Yes,Medical,2,3,27,7,Single,Male,2,3,0
27,No,Research & Development,Research Scientist,87315,4,0,No,Life Sciences,2,4,5,7,Married,Male,4,1,3
53,No,Research & Development,Research Director,82812,1,16,No,Marketing,4,4,27,2,Single,Male,3,3,2
25,Yes,Research & Development,Manufacturing Director,20000,1,7,No,Marketing,1,3,24,0,Married,Male,1,4,2
37,No,Research & Development,Laboratory Technician,68340,1,2,No,Human Resources,2,4,22,5,Single,Female,1,4,3
49,Yes,Research & Development,Manufacturing Director,63125,3,1,No,Human Resources,3,3,3,1,Single,Male,3,1,0
31,Yes,Sales,Manager,73140,3,2,No,Medical,4,4,22,1,Single,Female,4,2,1
45,No,Sales,Manager,54900,3,0,No,Other,2,3,7,2,Divorced,Female,4,1,1
41,Yes,Sales,Manager,111538,1,19,No,Medical,2,3,6,7,Married,Male,1,1,1
32,Yes,Research & Development,Laboratory Technician,66477,2,10,Yes,Medical,2,4,26,2,Married,Female,2,4,1
39,No,Research & Development,Research Director,69206,2,4,No,Human Resources,3,3,22,6,Married,Female,2,4,3
